Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"7,825",86.1,84.9,87.3,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,01,BO1,CAT1,HLTHPLN1,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,806,13.9,12.7,15.1,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,01,BO1,CAT1,HLTHPLN1,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"6,312",66.5,65,68,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,01,BO1,CAT1,PERSDOC2,RESP050,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,More than one,Overall,Overall,"1,047",10,9.2,10.9,253,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,01,BO1,CAT1,PERSDOC2,RESP053,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,No,Overall,Overall,"1,275",23.5,22,25,254,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,01,BO1,CAT1,PERSDOC2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,650",82.5,81.1,84,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,01,BO1,CAT1,_HCVU651,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,790,17.5,16,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,01,BO1,CAT1,_HCVU651,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"3,905",85,83.4,86.7,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,02,BO1,CAT1,HLTHPLN1,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,448,15,13.3,16.6,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,02,BO1,CAT1,HLTHPLN1,RESP054,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Personal Care Provider,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one",Overall,Overall,"2,599",53.4,51.3,55.5,252,%,Crude Prevalence,,,BRFSS,CLASS07,Topic43,02,BO1,CAT1,PERSDOC2,RESP050,"(64.84507995700051, -147.72205903599973)"
